title,category,notes
AUTH_SECRET,Autenticação e sessão,"Assina o JWT de sessão (lib/auth.ts). Gerar valor aleatório longo, ex.: openssl rand -base64 48."
CRON_SECRET,Autenticação e sessão,"Autentica as 13 rotas /api/cron/*. A Vercel envia como Authorization: Bearer. Gerar aleatório."
MIGRATION_SECRET,Autenticação e sessão,"Protege /api/admin/migrate-legacy. Gerar aleatório."
PAINEL_MESTRE_SETUP_SECRET,Autenticação e sessão,"Segunda trava de /api/admin/setup-painel-mestre. Gerar aleatório."
BLOG_ROBOT_SECRET,Autenticação e sessão,"Autentica o robô de conteúdo jurídico em /api/blog/draft. Gerar aleatório."
DATABASE_URL,Banco de dados,"Connection string do Postgres (Neon) em produção. Painel da Neon → Connection Details."
SOURCE_DATABASE_URL,Banco de dados,"Banco de origem para migração legada. Só necessária durante migração pontual."
EMAIL_HOST,E-mail (SMTP),"Provedor de e-mail transacional."
EMAIL_PORT,E-mail (SMTP),"Porta SMTP (geralmente 465)."
EMAIL_USER,E-mail (SMTP),"Usuário SMTP."
EMAIL_PASSWORD,E-mail (SMTP),"Senha/token SMTP."
WHATSAPP_VERIFY_TOKEN,WhatsApp (Meta Cloud API),"Verificação inicial do webhook. Meta for Developers → App do WhatsApp."
WHATSAPP_APP_SECRET,WhatsApp (Meta Cloud API),"Assinatura HMAC do webhook — hoje ausente em produção (Achado F2 da auditoria, corrigir junto). Meta for Developers → App Secret."
VAPID_PUBLIC_KEY,Notificações push,"Web Push API. Gerar com: node -e ""console.log(require('web-push').generateVAPIDKeys())""."
VAPID_PRIVATE_KEY,Notificações push,"Web Push API (par da pública acima)."
BTG_CLIENT_ID,BTG Empresas,"OAuth do app registrado no BTG. Ver README_BTG.md."
BTG_CLIENT_SECRET,BTG Empresas,"OAuth do app registrado no BTG."
BTG_ENV,BTG Empresas,"sandbox ou production."
BTG_REDIRECT_URI,BTG Empresas,"Só se o redirect cadastrado no BTG divergir da URL base do app."
MICROSOFT_CLIENT_ID,Microsoft (Outlook/Azure AD),"Azure Portal. Ver README_MICROSOFT.md."
MICROSOFT_CLIENT_SECRET,Microsoft (Outlook/Azure AD),"Azure Portal."
MICROSOFT_REDIRECT_URI,Microsoft (Outlook/Azure AD),"Callback OAuth cadastrado no Azure Portal."
GOOGLE_CLIENT_ID,Google (Drive/Gmail),"Google Cloud Console → Credenciais."
GOOGLE_CLIENT_SECRET,Google (Drive/Gmail),"Google Cloud Console → Credenciais."
GOOGLE_REDIRECT_URI,Google (Drive/Gmail),"Callback OAuth cadastrado no Google Cloud Console."
DROPBOX_CLIENT_ID,Dropbox,"Dropbox App Console. Ver README_MICROSOFT.md seção 2."
DROPBOX_CLIENT_SECRET,Dropbox,"Dropbox App Console."
DROPBOX_REDIRECT_URI,Dropbox,"Callback OAuth cadastrado no Dropbox App Console."
ASAAS_API_KEY,Asaas (cobrança),"Painel Asaas. Ver README_ASAAS.md."
ASAAS_WEBHOOK_TOKEN,Asaas (cobrança),"Painel Asaas → Configurações → Webhooks."
ASAAS_ENV,Asaas (cobrança),"sandbox ou production."
ANTHROPIC_API_KEY,IA,"console.anthropic.com — usada pelo assistente do produto (/api/assistente)."
LEGACY_BLOB_READ_WRITE_TOKEN,Legado/migração,"Acesso ao Blob Store antigo durante migração. Vercel (projeto legado)."
